ID,titles,issue,volume
327,Interests and Abilities as a Basis for Program Planning,2,7
328,Effect of Water Polo on Blood Pressure and Pulse Rate,2,7
329,A Camp Study,2,7
330,Recent Changes in Student Teaching Curricula and Major Problems in Teacher Training at Forty-Three Institutions of Higher Learning,2,7
331,The Application of Testing to Determine the Physical Fitness of College Women,2,7
332,Knowledge Test on Source Material in Physical Education Including Aspects of Health Education and Recreation,2,7
333,Book Reviews,2,7
334,"The Original Table of Contents, Contributing Editors, and the American Physical Education Association Officers",2,7
335,The Status of Physical Education for Women in Colleges and Universities,3,7
336,A Study Pertaining to the Athletic Directorship of Intercollegiate Athletics,3,7
337,A Comparison of Two Methods of Testing Response to Auditory Rhythms,3,7
338,Body-Build in Football Players,3,7
339,A New Device for Urinalysis in the Routine Health Examination,3,7
340,An Analysis of Activity Records of Field Hockey Players,3,7
341,The Energy Cost of Chinning the Bar and Push-up Exercises,3,7
342,A Preliminary Study of Standards of Performance in Athletic Skills of Junior High School Boys,3,7
343,Weight Deviation and Health in a College Group,3,7
344,Eighth Annual Report of the Committee on Curriculum Research,3,7
345,A Study of the Promotion and Organization of Leisure-Time Interests and Activities in Small Towns and Rural Communities,3,7
346,Book Reviews,3,7
347,Bibliography of Health and Physical Education,4,7
348,A Study of the Orthopedic Aspects of Health Examination Records,4,7
349,A Study of Present Practices in Supervision of Practice Teachers in Physical Education in Teacher Training Institutions,4,7
350,Measurement in Physical Education for Women,4,7
351,National Research Study in Archery,4,7
352,"The Relation of Dorso-Cervical Postural Deficiencies to Cardiac Disease, Especially from Middle Life Onwards",4,7
353,Residual Neuromuscular Hypertension: Implications for Education,4,7
354,Analysis of Vital Capacity as a Test of Condition for High School Boys,4,7
355,The Contribution of Breathing Capacity to the Physical Fitness Index,4,7
356,A Scale for Measuring the Antero-Posterior Posture of the Preschool Child,4,7
357,Selected Bibliography for 1935,4,7
358,Book Reviews,4,7
359,Cumulative Author and Subject Matter Index for Vol. VII. (1936),4,7
360,The Original Table of Contents,1,8
361,Some Notes on the History of Sport Bibliography,1,8
362,Undergraduate Attitudes and Interests with Regard to Physical Education Activities at Wellesley College,1,8
363,“Physiculture” in the Soviet Union,1,8
364,A Study of the Tendency of School Children to Develop Flat-Footedness,1,8
365,Testing in Physical Education,1,8
366,The Status of Intramural Programs for Women,1,8
367,Strength Test Norms for College Women Entrants,1,8
368,Ninth Annual Report of the Committee on Curriculum Research of the College Physical Education Association,1,8
369,An Age-Height-Weight Table for College Women,1,8
370,Aims and Objectives of Physical Education Activities,1,8
371,A Further Study of Tuttle's Test as a Means of Detecting Non-Compensated Organic Heart Lesions,1,8
372,Further Observations on Tuttle's Test for Non-Compensated Heart Lesions,1,8
373,"The Relation of Reaction Time, Speed, and Agility of Big Muscle Groups to Certain Sport Skills",1,8
374,Knowledge and Achievement Tests in Girls' Basketball on the Senior High School Level,1,8
375,Book Reviews,1,8
376,The Original Table of Contents,2,8
377,"Study of Organic Efficiency of U. S. Veterans at the Domiciliary Facility, Bay Pines, Florida",2,8
378,Standards in Athletics for Girls and Women,2,8
379,Ninth Annual Report of the Committee on Curriculum Research of the College Physical Education Association,2,8
380,A Comparison of Nutritional Indices,2,8
381,A Comparison of the Health and Physical Recreation Activities of High School Teachers and Coaches,2,8
382,The Prediction of Total Potential Strength of Adult Males from Skeletal Build,2,8
383,An Achievement Scale in Archery,2,8
384,An Analysis of the Activities of Physical Education Teachers in High Schools,2,8
385,Dynamic Aspects of Foot Postures During Walking,2,8
386,A Study of Safety in College Physical Education,2,8
387,Achievement Tests in Volleyball for High School Girls,2,8
388,Diary Analysis: A Suggested Technique for the Study of Children's Activities and Interests,2,8
389,A Study of the Mechanics of Graceful Walking,2,8
390,A Measurement of Motor Ability in College Women,2,8
391,Book Reviews,2,8
392,The Original Table of Contents,3,8
393,Health Knowledge of High School and College Students,3,8
394,Textbook Fallacies Regarding the Development of the Child's Heart,3,8
395,A Comparative Study of Undergraduate Women Majors and Non-Majors in Physical Education with Respect to Certain Personal Traits,3,8
396,An Analytical Study of the Stunt Type Test as a Measure of Motor Educability,3,8
397,The Interests and Participation of Boys and Girls in Out-of-School Recreation Activities,3,8
398,Studies in Strength Testing for High School Girls,3,8
399,Comprehensive Tennis Knowledge Test,3,8
400,Anthropometry,3,8
401,A Comparison of the Intelligence and Athletic Ability of College Men,3,8
402,A Comparative Study of Physical Education Programs for Senior High School Girls and Boys,3,8
403,The Differential Measurement of the Speed Factor in Large Muscle Activities,3,8
404,A Study of the Relation of Certain Measurements of College Women to Throwing Ability,3,8
405,The Correlation of Health Instruction,3,8
406,Book Reviews,3,8
407,The Original Table of Contents,4,8
408,A Survey to Determine the Status of Graduate Work in Physical Education,4,8
409,The Establishment of Bases for Classification of Junior and Senior High School Boys Into Homogeneous Groups for Physical Education,4,8
410,The Floating Ability of Women,4,8
411,Erroneous Measurements in the Field Events,4,8
412,An Abstract of a Study of the Effects of Varying Degrees of Physical Activity During the Menstrual Period Upon the Red Blood Cell Count,4,8
413,Body Mechanics Analysis of Yale University Freshmen,4,8
414,"A Comparison of the Whole Method, the Minor Game Method, and the Whole Part Method of Teaching Basketball to Ninth-Grade Boys",4,8
415,The Administration of School Playgrounds in the Educational System of Chicago,4,8
416,Studies in Testing Volleyball Skills,4,8
417,"Absence from School–Influenza, Physical Education",4,8
418,Gain in Health Knowledge of Two Groups of Women Students Classified in Physical Education,4,8
419,An Analysis of the Speed Factor in Simple Athletic Activities,4,8
420,The Extent of Physical Education in Nursing Schools,4,8
421,The Differential Measurement of Force and Velocity for Junior High School Girls,4,8
422,Selected Bibliography for 1936,4,8
423,Book Reviews,4,8
424,Cumulative Author and Subject Matter Index for Vol. VIII. (1937),4,8
425,The Original Table of Contents,1,9
426,Physical Qualifications of the Navy's Applicants,1,9
427,A Further Study of the Analysis of Movement on the Basis of Latent Times and Variabilities,1,9
428,Revision of the Backboard Test of Tennis Ability,1,9
429,The Validity of the Pulse-Ratio Test of Cardiac Efficiency,1,9
430,The Status of Physical Education in the Accredited Secondary Schools of Illinois,1,9
431,A Further Study of Recreational Therapy,1,9
432,A Critical Analysis of Test Elements Used in Physical Education,1,9
433,A Study of First-Aid Procedures Followed by Certain Secondary Schools in Detroit and in Michigan (Preliminary Report),1,9
434,A Comparison of the Academic Grades and Intelligence Scores of Participants and Nonparticipants in Intramural Athletics at the University of Kentucky,1,9
435,Student Housing Survey,1,9
436,"Motion Pictures in Health and Physical Education Sources, Films, Descriptions, and Prices",1,9
437,The Use of a Student Inquiry Form for Evaluating a Course in College Hygiene,1,9
438,Book Reviews,1,9
439,A Fall Decathlon for Track Squads,2,9
440,The Variations and Interrelations of the Last Lumbar Vertebra and Sacrum,2,9
441,Experiments in Health Education at the College Level,2,9
442,A Convenient Apparatus for the Study of Motion Picture Films,2,9
443,X-ray Studies of Innate Differences in Straight and Curved Spines,2,9
444,The Status of Intramural Athletics for Men in State Teachers Colleges,2,9
445,Standards for the Selection of Persons to Be Trained for Placement in Health and Physical Education,2,9
446,A Simplification of the Pulse-Ratio Technique for Rating Physical Efficiency and Present Condition,2,9
447,Functional Tests: II. The Reliability of the Pulse-Ratio Test,2,9
448,Physical Education at Amherst,2,9
449,A Study of the Relationship of Dominance to the Performance of Physical Education Activities,2,9
450,"Strength, Power, and “Femininity” as Factors Influencing the Athletic Performance of College Women",2,9
451,A Study of the Behavior of Boy Campers,2,9
452,The Effect of Rule Changes upon the Distance Traversed by Basketball Players,2,9
453,What People Do in Their Spare Time,2,9
454,Book Reviews,2,9
455,The Original Table of Contents and Contributing Editors,2,9
456,The Most Proficient Years at Sports and Games,3,9
457,The Behavior Pattern of Throwing and Some Observations Concerning its Course of Development in Children,3,9
458,History of the Research Section of the American Association for Health and Physical Education,3,9
459,Professional Training in Health Education,3,9
460,"The Effect of Exercise, Fatigue, and Exhaustion on the Electrical Potential of the Brain Cortex and Threshold of the Knee Jerk",3,9
461,The Effect of Maturation on Physical Skill as Measured by the Johnson Physical Skill Test,3,9
462,Participation in Non-Required Activities by Physical Education Major Students,3,9
463,The Use of a Belt to Measure Leg Strength Improves the Administration of Physical Fitness Tests,3,9
464,A Study of Angles in the Measurement of the Leg Lift,3,9
465,A Rating Profile for Student Teachers and Teachers of Physical Education,3,9
466,A Report on Some Experimentation with a Skill Test,3,9
467,Evaluating the Effectiveness of Supervision for Student Teachers,3,9
468,A Comparative Anthropometric Study of Hard Labor during Youth as a Stimulator of Physical Growth of Young Colored Women,3,9
469,Measurement of the Velocity Factor and of Athletic Power in High School Boys,3,9
470,A Bibliography on Boxing,3,9
471,Book Reviews,3,9
472,A Critical Study of the Factors Determining Effective Strength Tests for Women,4,9
473,The Research Specialist: His Role in Teacher Education,4,9
474,Recent Studies of American Adolescents as Guides for the Reorganization of the Secondary School Physical Education Program,4,9
475,Studies Relating to Achievement Scales in Physical Education Activities,4,9
476,A Study to Discover the Relative Numbers of Baseball Games Won at Home and Away from Home in the Major Leagues,4,9
477,Studies in Measuring Basketball Playing Ability of College Women,4,9
478,Basketball: Essential Differences between the Two-Court and the Three-Court Game for Girls of Different Age Levels,4,9
