"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"23","RT @jessica_xls: For those in the UK 🇬🇧 or moving there soon, check out this thread for FREE Tech skills bootcamps ranging from Software De…",FALSE,0,NA,2022-04-22 20:17:37,FALSE,NA,"1517598522291499012",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ajayidhikrullah",108,TRUE,FALSE,NA,NA
"24","RT @lushpalettes: If you’re looking to break into Data Analytics 

Friendly Reminder:

Python is free
Tableau Public is free
R is free
Goog…",FALSE,0,NA,2022-04-22 20:17:37,FALSE,NA,"1517598519430942729",NA,"<a href=""https://github.com/keldavis/BlackTechTwitterBot"" rel=""nofollow"">BlackTech Twitter Bot</a>","BotBlackTech",1,TRUE,FALSE,NA,NA
"25","Daily Covid Deaths per 1K Population by County For KY   2022-04-19:  Latest Covid Insights by Our Analytics Team us… https://t.co/5qfC6LBnuv",FALSE,1,NA,2022-04-22 20:17:15,TRUE,NA,"1517598426866716673",NA,"<a href=""http://www.suttersmillcapital.com"" rel=""nofollow"">smcapplication</a>","njoyflyfishing",2,FALSE,FALSE,NA,NA
"26","RT @antgrasso: To harness the most from Artificial Intelligence (AI), you need data governance and advanced analytics to foster an intellig…",FALSE,0,NA,2022-04-22 20:16:56,FALSE,NA,"1517598346592071680",NA,"<a href=""https://www.calcaware.com/"" rel=""nofollow"">Calcaware</a>","Calcaware",67,TRUE,FALSE,NA,NA
"27","RT @antgrasso: To harness the most from Artificial Intelligence (AI), you need data governance and advanced analytics to foster an intellig…",FALSE,0,NA,2022-04-22 20:16:49,FALSE,NA,"1517598317559132160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3AnthonyFrancis",67,TRUE,FALSE,NA,NA
"28","RT @CryptoListy: The @DuneAnalytics platform is a tool that dramatically simplifies the process. It is a web-based platform for querying #E…",FALSE,0,NA,2022-04-22 20:16:43,FALSE,NA,"1517598292968099841",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","vuquocdung13",389,TRUE,FALSE,NA,NA
"29","#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data… https://t.co/LXacAzVvKV",FALSE,0,NA,2022-04-22 20:15:53,TRUE,NA,"1517598084586520579",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","cuongcz",1,FALSE,FALSE,NA,NA
"30","#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data… https://t.co/frzbUSXNcy",FALSE,0,NA,2022-04-22 20:15:53,TRUE,NA,"1517598083370168321",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","cuongcz",0,FALSE,FALSE,NA,NA
"31","#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data… https://t.co/dabMu2vUmo",FALSE,0,NA,2022-04-22 20:15:52,TRUE,NA,"1517598081482735616",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","cuongcz",0,FALSE,FALSE,NA,NA
"32","#ai #ml #artificialintelligence #machinelearning #datascience #bigdata #analytics #blockchain #tech #data… https://t.co/xJcjkVMgJt",FALSE,0,NA,2022-04-22 20:15:52,TRUE,NA,"1517598079784034304",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","cuongcz",0,FALSE,FALSE,NA,NA
"33","Companies are increasingly taking up data analytics to lower costs, enhance customer experience and optimise proces… https://t.co/1Hxu3VRCZf",FALSE,0,NA,2022-04-22 20:15:46,TRUE,NA,"1517598056010727428",NA,"<a href=""https://app.socialpilot.co/"" rel=""nofollow"">SocialPilot.co</a>","EnFuseSolution",0,FALSE,FALSE,NA,NA
"34","RT @adem_onar: Serverless Architecture — Pros &amp; Cons

#serverless #cloudcomputing #linux #javascript #daysofcode #programming #iot #reactjs…",FALSE,0,NA,2022-04-22 20:15:07,FALSE,NA,"1517597890369228802",NA,"<a href=""https://github.com/lina2497"" rel=""nofollow"">Python Data Science Tweets</a>","py_data_sci",6,TRUE,FALSE,NA,NA
"35","RT @lucytiffany: We're making some amazing changes at Kirklees Council creating a new data &amp; insight function. Take a look at some of the o…",FALSE,0,NA,2022-04-22 20:15:03,FALSE,NA,"1517597873935765504",NA,"<a href=""https://gamer-geek-news.com"" rel=""nofollow"">DataScienceInfo</a>","DataAugmented",2,TRUE,FALSE,NA,NA
"36","RT @jessica_xls: For those in the UK 🇬🇧 or moving there soon, check out this thread for FREE Tech skills bootcamps ranging from Software De…",FALSE,0,NA,2022-04-22 20:14:36,FALSE,NA,"1517597760752660481",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ju_mai_",108,TRUE,FALSE,NA,NA
"37","I got accepted into data analytics bootcamp via UCD this year, &amp; that tuition is HIGH, but I recently stumbled acro… https://t.co/xUqRn9keHe",FALSE,0,NA,2022-04-22 20:14:14,TRUE,NA,"1517597670444961792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lotusatma",0,FALSE,FALSE,NA,NA
"38","Daily Covid Deaths per 1K Population by County For KS   2022-04-19:  Latest Covid Insights by Our Analytics Team us… https://t.co/lH73no09c3",FALSE,1,NA,2022-04-22 20:13:30,TRUE,NA,"1517597483437674496",NA,"<a href=""http://www.suttersmillcapital.com"" rel=""nofollow"">smcapplication</a>","njoyflyfishing",1,FALSE,FALSE,NA,NA
"39","RT @gp_pulipaka: Free Book: #Mathematics for Machine Learning and AI. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats…",FALSE,0,NA,2022-04-22 20:13:29,FALSE,NA,"1517597479428100098",NA,"<a href=""https://github.com/icnawaz/id"" rel=""nofollow"">All JavaScript Tweet</a>","alljstweet",33,TRUE,FALSE,NA,NA
"40","RT @gp_pulipaka: Free Book: #Mathematics for Machine Learning and AI. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats…",FALSE,0,NA,2022-04-22 20:13:25,FALSE,NA,"1517597465226133504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JorgeGaete",33,TRUE,FALSE,NA,NA
"41","Every time I score 100% on a Data Analytics quiz or test. https://t.co/PAKlzqG3pH",FALSE,1,NA,2022-04-22 20:13:14,FALSE,NA,"1517597415183945731",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_MichaelCain",0,FALSE,FALSE,NA,NA
"42","RT @antgrasso: To harness the most from Artificial Intelligence (AI), you need data governance and advanced analytics to foster an intellig…",FALSE,0,NA,2022-04-22 20:13:08,FALSE,NA,"1517597391200919553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CleusaLima",67,TRUE,FALSE,NA,NA
"43","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For IA   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:13:01,FALSE,NA,"1517597361014554624",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",1,TRUE,FALSE,NA,NA
"44","@Dennis_Porter_ @WClementeIII @wsfoxley @Mason_Jappa In the context of this argument what relevance is… https://t.co/yR8dfjIMsU",FALSE,0,"Dennis_Porter_",2022-04-22 20:12:37,TRUE,"1517585666132955136","1517597259894042625","1291243382128304133","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PorterMetzger",0,FALSE,FALSE,NA,NA
"45","RT @JosephGillMA: Or, Jordan went to a great skills trainer, and that skills trainer works with an analytics professional who knows how to…",FALSE,0,NA,2022-04-22 20:12:33,FALSE,NA,"1517597246547660800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CANTCM3",5,TRUE,FALSE,NA,NA
"46","@TetroUKofficial YouTube engagement metrics (views, likes &amp; subscriptions) can freeze or fluctuate as our system ve… https://t.co/QaJgsrUwz2",FALSE,0,"TetroUKofficial",2022-04-22 20:12:28,TRUE,"1517582443221553153","1517597224880029697","172918386","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","TeamYouTube",0,FALSE,FALSE,NA,NA
"47","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For IN   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:12:14,FALSE,NA,"1517597166268788737",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",1,TRUE,FALSE,NA,NA
"48","RT @synchsolutions1: Data analytics enable quality decision-making and can augment historical reporting. 

Our solutions can aid you with s…",FALSE,0,NA,2022-04-22 20:11:52,FALSE,NA,"1517597073197129730",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","brandonreviere_",0,TRUE,FALSE,NA,NA
"49","RT @jessica_xls: For those in the UK 🇬🇧 or moving there soon, check out this thread for FREE Tech skills bootcamps ranging from Software De…",FALSE,0,NA,2022-04-22 20:11:50,FALSE,NA,"1517597065622261762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","temijei_0",108,TRUE,FALSE,NA,NA
"50","RT @drlisa_lucas: When we care for people, our communities and our planet, the entire Earth benefits. See how @SASsoftware plays an integra…",FALSE,0,NA,2022-04-22 20:11:47,FALSE,NA,"1517597050917081088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","wdwilson_tech",1,TRUE,FALSE,NA,NA
"51","@Ch3wLim @DsMatie @mixpanel @ShopifyPartners Hey, congrats. Maybe you can try out @eventbunker instead of mixpanel… https://t.co/sBcCBvlEel",FALSE,0,"Ch3wLim",2022-04-22 20:11:20,TRUE,"1517399937319071744","1517596938459353090","1048077482140753920","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Halil_D_",0,FALSE,FALSE,NA,NA
"52","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For IL   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:11:15,FALSE,NA,"1517596916871225346",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",1,TRUE,FALSE,NA,NA
"53","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For IL   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:10:45,FALSE,NA,"1517596790878613504",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",1,TRUE,FALSE,NA,NA
"54","Things that keep me bound to bloomberg:
QUIZ
BChat

The rest of it is a one-stop-shop convenience. Plenty ppl do da… https://t.co/L6KaEQk61S",FALSE,2,NA,2022-04-22 20:10:42,TRUE,NA,"1517596781508452352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NihilistTrader",0,FALSE,FALSE,NA,NA
"55","RT @TBD_Media: An all-in-one media intelligence platform! Watch as we explore @Meltwater, a world-leading media intelligence and social ana…",FALSE,0,NA,2022-04-22 20:10:35,FALSE,NA,"1517596749476646912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ibrahimacar5334",29,TRUE,FALSE,NA,NA
"56","Daily Covid Deaths per 1K Population by County For IA   2022-04-19:  Latest Covid Insights by Our Analytics Team us… https://t.co/dWerRvY4pp",FALSE,1,NA,2022-04-22 20:09:41,TRUE,NA,"1517596524003266560",NA,"<a href=""http://www.suttersmillcapital.com"" rel=""nofollow"">smcapplication</a>","njoyflyfishing",1,FALSE,FALSE,NA,NA
"57","Help us congratulate Edison Thomaz (@ethomaz) of @utexasece &amp; fellow @UTAustin researchers who received an @NIH R01… https://t.co/Yp997LIdOq",FALSE,2,NA,2022-04-22 20:09:08,TRUE,NA,"1517596384798646272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","UTAustinVPR",1,FALSE,FALSE,NA,NA
"58","RT @jmefromtheblock: I GOT THE JOB!! 🥳🙏🏼

On November 23rd I began my Google Data Analytics course. I completed and received my certificate…",FALSE,0,NA,2022-04-22 20:09:03,FALSE,NA,"1517596362556203013",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmpressDaisy_",86,TRUE,FALSE,NA,NA
"59","RT @SolluminatiNFT: Treasury wallets analytics and holders' retention data, all at the push of a button @SolluminatiNFT DAO Tool Suite!

Up…",FALSE,0,NA,2022-04-22 20:08:32,FALSE,NA,"1517596235221409793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kcigarmsmoket",6,TRUE,FALSE,NA,NA
"60","RT @j_schottenstein: The new @dbt_labs Analytics Engineering Podcast episode just dropped 🫳🎤 @jthandy and I sit down with @sarahmk125 to ta…",FALSE,0,NA,2022-04-22 20:07:44,FALSE,NA,"1517596031088619521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","data_angels",2,TRUE,FALSE,NA,NA
"61","RT @DataCentric_AI: According to @Gartner_inc, #DataCentricAI is one of the 12 #Data and #Analytics #Trends to #KeepOnYourRadar

In the Dat…",FALSE,0,NA,2022-04-22 20:07:43,FALSE,NA,"1517596028391858180",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fgokmenoglu_",1,TRUE,FALSE,NA,NA
"62","@COYSmke As a former pro athlete, and current assistant focused on data analytics... I have no choice but 2 respect… https://t.co/M2WJdMrEBq",FALSE,0,"COYSmke",2022-04-22 20:07:31,TRUE,"1517591446836154368","1517595979570192385","1267836059964104712","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","harryCOYSkane",0,FALSE,FALSE,NA,NA
"63","RT @jmefromtheblock: I GOT THE JOB!! 🥳🙏🏼

On November 23rd I began my Google Data Analytics course. I completed and received my certificate…",FALSE,0,NA,2022-04-22 20:07:29,FALSE,NA,"1517595970904723462",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InclusiveData1",86,TRUE,FALSE,NA,NA
"64","RT @manicdistopia: I believe in underpromising and over-delivering. 'Don't talk about it, be about it' mentality

I am here to make art and…",FALSE,0,NA,2022-04-22 20:06:35,FALSE,NA,"1517595744521404416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ImTheArtHustler",2,TRUE,FALSE,NA,NA
"65","RT @GYPOTech: Meet Ai-Da, The World’s 1st Robot Artist

➖➖➖➖
#AI #Robot #DataScience #BigData #Analytics #Data #Robotics #Digital #tech #5G…",FALSE,0,NA,2022-04-22 20:06:31,FALSE,NA,"1517595726137679873",NA,"<a href=""https://yathinbabu.github.io"" rel=""nofollow"">xael bot</a>","xaelbot",11,TRUE,FALSE,NA,NA
"66","RT @GYPOTech: Meet Ai-Da, The World’s 1st Robot Artist

➖➖➖➖
#AI #Robot #DataScience #BigData #Analytics #Data #Robotics #Digital #tech #5G…",FALSE,0,NA,2022-04-22 20:06:24,FALSE,NA,"1517595697700298753",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Flutter Bot</a>","flutterbyamey",11,TRUE,FALSE,NA,NA
"67","RT @GYPOTech: Meet Ai-Da, The World’s 1st Robot Artist

➖➖➖➖
#AI #Robot #DataScience #BigData #Analytics #Data #Robotics #Digital #tech #5G…",FALSE,0,NA,2022-04-22 20:06:20,FALSE,NA,"1517595679409029127",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GYPOTech",11,TRUE,FALSE,NA,NA
"68","I believe in underpromising and over-delivering. 'Don't talk about it, be about it' mentality

I am here to make ar… https://t.co/ZxPpGHIngd",FALSE,22,NA,2022-04-22 20:05:36,TRUE,NA,"1517595495048245253",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","manicdistopia",2,FALSE,FALSE,NA,NA
"69","RT @Tanjilasmm: Different Career Options in Big Data! 

#BigData #DataScience #Career
#DataScience #DataAnalytics #MachineLearning #ML #Big…",FALSE,0,NA,2022-04-22 20:05:34,FALSE,NA,"1517595485724413954",NA,"<a href=""https://twitter.com/codedailybot"" rel=""nofollow"">codedailybot</a>","codedailybot",101,TRUE,FALSE,NA,NA
"70","RT @JosephGillMA: Or, Jordan went to a great skills trainer, and that skills trainer works with an analytics professional who knows how to…",FALSE,0,NA,2022-04-22 20:05:24,FALSE,NA,"1517595447833018368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","J_Micou",5,TRUE,FALSE,NA,NA
"71","Daily Covid Deaths per 1K Population by County For IN   2022-04-19:  Latest Covid Insights by Our Analytics Team us… https://t.co/ydm7YSFNMO",FALSE,1,NA,2022-04-22 20:05:20,TRUE,NA,"1517595428643999745",NA,"<a href=""http://www.suttersmillcapital.com"" rel=""nofollow"">smcapplication</a>","njoyflyfishing",1,FALSE,FALSE,NA,NA
"72","A guided walkthrough of Regression Analysis in ArcGIS Insights. This walkthrough uses an Insights linear (OLS) regr… https://t.co/XEpEkeiXPG",FALSE,0,NA,2022-04-22 20:05:03,TRUE,NA,"1517595359819743235",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","claystarr",0,FALSE,FALSE,NA,NA
"73","RT @Tanjilasmm: Different Career Options in Big Data! 

#BigData #DataScience #Career
#DataScience #DataAnalytics #MachineLearning #ML #Big…",FALSE,0,NA,2022-04-22 20:04:46,FALSE,NA,"1517595286369148930",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","quesadagranja",101,TRUE,FALSE,NA,NA
"74","RT @DellTechHealth: .@medacist empowers healthcare providers to gain drug diversion insight and keep patients and hospitals safe with data…",FALSE,0,NA,2022-04-22 20:04:23,FALSE,NA,"1517595188507598848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EvanKirstel",1,TRUE,FALSE,NA,NA
"75","RT @maddieflitcroft: It was a productive research month learning about data science. Grateful for @anaikothari and his mentorship!

Transfo…",FALSE,0,NA,2022-04-22 20:04:22,FALSE,NA,"1517595184372105220",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cbrig215",1,TRUE,FALSE,NA,NA
"76","Daily Covid Deaths per 1K Population by County For IL   2022-04-19:  Latest Covid Insights by Our Analytics Team us… https://t.co/9g1O21YZ3U",FALSE,1,NA,2022-04-22 20:03:41,TRUE,NA,"1517595015396028416",NA,"<a href=""http://www.suttersmillcapital.com"" rel=""nofollow"">smcapplication</a>","njoyflyfishing",1,FALSE,FALSE,NA,NA
"77","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For ID   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:02:26,FALSE,NA,"1517594698151514114",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",2,TRUE,FALSE,NA,NA
"78","Standard location data analysis technique. Learned how to do it in my Social Analytics online course. Easy to deriv… https://t.co/xveItocMWG",FALSE,0,NA,2022-04-22 20:02:06,TRUE,NA,"1517594614454276099",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TripKrant",0,FALSE,FALSE,NA,NA
"79","RT @njoyflyfishing: Daily Covid Deaths per 1K Population by County For HI   2022-04-19:  Latest Covid Insights by Our Analytics Team using…",FALSE,0,NA,2022-04-22 20:02:03,FALSE,NA,"1517594604262068225",NA,"<a href=""https://script.google.com/"" rel=""nofollow"">PHDS bot mark 2</a>","PublicHealthBot",1,TRUE,FALSE,NA,NA
